archivo,tipo,glosa,inicio,fin,duracion,frames
AMANECER_ORACION_2.eaf,transicion,TRANSICION,3.517,3.527,0.010000000000000231,0
AMANECER_ORACION_2.eaf,glosa,AMANECER_1,3.527,4.981,1.4539999999999997,44
AMANECER_ORACION_3.eaf,glosa,DORMIR_1,1.004,2.056,1.052,32
AMANECER_ORACION_3.eaf,transicion,TRANSICION,2.056,2.061,0.004999999999999893,0
AMANECER_ORACION_3.eaf,glosa,TODA-LA-NOCHE_1,2.061,2.605,0.544,16
AMANECER_ORACION_3.eaf,transicion,TRANSICION,2.605,2.609,0.0040000000000000036,0
AMANECER_ORACION_3.eaf,glosa,AMANECER_2,2.609,4.224,1.6150000000000002,48
AMBULANCIA_ORACION_1.eaf,glosa,CARRO_1,0.88,1.674,0.7939999999999999,24
AMBULANCIA_ORACION_1.eaf,glosa,SIRENA_1,1.674,2.69,1.016,30
AMBULANCIA_ORACION_1.eaf,glosa,VIA-DOBLE-SENTIDO_1,2.69,4.039,1.3489999999999998,40
AMIGO_ORACION_1.eaf,glosa,YO_1,1.058,1.356,0.29800000000000004,9
AMIGO_ORACION_1.eaf,glosa,IX_1,1.356,1.726,0.3699999999999999,11
AMIGO_ORACION_1.eaf,glosa,ANTES_1,1.726,2.169,0.44300000000000006,13
AMIGO_ORACION_1.eaf,glosa,AMIGO_1,2.169,3.108,0.9390000000000001,28
AMIGO_ORACION_1.eaf,transicion,TRANSICION,3.108,3.113,0.004999999999999893,0
AMIGO_ORACION_1.eaf,glosa,AÑO_1,3.113,3.604,0.4910000000000001,15
AMIGO_ORACION_1.eaf,transicion,TRANSICION,3.604,3.609,0.004999999999999893,0
AMIGO_ORACION_1.eaf,glosa,BIEN_1,3.609,4.412,0.8029999999999999,24
AMIGO_ORACION_1.eaf,transicion,TRANSICION,4.412,4.417,0.004999999999999893,0
AMIGO_ORACION_1.eaf,glosa,AMIGO_1,4.417,5.664,1.2469999999999999,37
ANILLO_ORACION_1.eaf,glosa,YO_1,0.775,1.029,0.2539999999999999,8
ANILLO_ORACION_1.eaf,glosa,IR_1,1.029,1.5,0.4710000000000001,14
ANILLO_ORACION_1.eaf,glosa,COMPRAR_1,1.5,2.062,0.5619999999999998,17
ANILLO_ORACION_1.eaf,glosa,ANILLO_1,2.062,3.613,1.5510000000000002,47
ANOCHECER_ORACION_1.eaf,glosa,YO_1,0.605,0.877,0.272,8
ANOCHECER_ORACION_1.eaf,glosa,TIPEAR_1,0.877,2.427,1.55,46
ANOCHECER_ORACION_1.eaf,transicion,TRANSICION,2.427,2.436,0.008999999999999897,0
ANOCHECER_ORACION_1.eaf,glosa,ANOCHECER_1,2.436,4.103,1.6669999999999998,50
ANTES_ORACION_1.eaf,glosa,YO_1,1.057,1.384,0.32699999999999996,10
ANTES_ORACION_1.eaf,transicion,TRANSICION,1.384,1.389,0.0050000000000001155,0
ANTES_ORACION_1.eaf,glosa,COMER_1,1.389,1.682,0.2929999999999999,9
ANTES_ORACION_1.eaf,glosa,FALTA_1,1.682,1.935,0.2530000000000001,8
ANTES_ORACION_1.eaf,transicion,TRANSICION,1.935,1.94,0.004999999999999893,0
ANTES_ORACION_1.eaf,glosa,COMER_1,1.94,2.292,0.35199999999999987,11
ANTES_ORACION_1.eaf,transicion,TRANSICION,2.292,2.655,0.363,11
ANTES_ORACION_1.eaf,glosa,AVISAR_1,2.655,3.072,0.41700000000000026,13
ANTES_ORACION_1.eaf,glosa,NADA_1,3.072,3.528,0.45599999999999996,14
ANTES_ORACION_1.eaf,transicion,TRANSICION,3.528,3.533,0.004999999999999893,0
ANTES_ORACION_1.eaf,glosa,ANTES_1,3.533,4.819,1.286,39
ATARDECER_ORACION_1.eaf,glosa,YO_1,1.1,1.467,0.367,11
ATARDECER_ORACION_1.eaf,transicion,TRANSICION,1.467,1.477,0.010000000000000009,0
ATARDECER_ORACION_1.eaf,glosa,VER_1,1.477,1.949,0.472,14
ATARDECER_ORACION_1.eaf,glosa,BONITO_1,1.949,2.292,0.34299999999999975,10
ATARDECER_ORACION_1.eaf,transicion,TRANSICION,2.292,2.296,0.0040000000000000036,0
ATARDECER_ORACION_1.eaf,glosa,MAR_1,2.296,3.064,0.7680000000000002,23
ATARDECER_ORACION_1.eaf,transicion,TRANSICION,3.064,3.068,0.0040000000000000036,0
ATARDECER_ORACION_1.eaf,glosa,ATARDECER_1,3.068,4.77,1.7019999999999995,51
ATARDECER_ORACION_2.eaf,glosa,YO_1,0.588,0.891,0.30300000000000005,9
ATARDECER_ORACION_2.eaf,transicion,TRANSICION,0.891,0.901,0.010000000000000009,0
ATARDECER_ORACION_2.eaf,glosa,VER_1,0.901,1.431,0.53,16
ATARDECER_ORACION_2.eaf,glosa,QUERER_1,1.431,1.906,0.47499999999999987,14
ATARDECER_ORACION_2.eaf,glosa,IR_1,1.906,2.225,0.3190000000000002,10
ATARDECER_ORACION_2.eaf,transicion,TRANSICION,2.225,2.23,0.004999999999999893,0
ATARDECER_ORACION_2.eaf,glosa,VIAJE_1,2.23,2.716,0.4860000000000002,15
ATARDECER_ORACION_2.eaf,transicion,TRANSICION,2.716,2.722,0.005999999999999783,0
ATARDECER_ORACION_2.eaf,glosa,CARRO_1,2.722,3.143,0.4209999999999998,13
ATARDECER_ORACION_2.eaf,transicion,TRANSICION,3.143,3.148,0.0050000000000003375,0
ATARDECER_ORACION_2.eaf,glosa,VER_1,3.148,3.812,0.6639999999999997,20
ATARDECER_ORACION_2.eaf,transicion,TRANSICION,3.812,3.98,0.16800000000000015,5
ATARDECER_ORACION_2.eaf,glosa,ATARDECER_1,3.98,6.345,2.3649999999999998,71
ATARDECER_ORACION_3.eaf,glosa,YO_1,0.824,1.049,0.22499999999999998,7
ATARDECER_ORACION_3.eaf,glosa,CAMINAR-PERSONA_1,1.049,2.157,1.108,33
ATARDECER_ORACION_3.eaf,transicion,TRANSICION,2.157,2.161,0.0040000000000000036,0
ATARDECER_ORACION_3.eaf,glosa,ATARDECER_1,2.161,3.614,1.4529999999999998,44
ATARDECER_ORACION_3.eaf,transicion,TRANSICION,3.614,3.619,0.0050000000000003375,0
ATARDECER_ORACION_3.eaf,glosa,CAMINAR-PERSONA_1,3.619,4.347,0.7280000000000002,22
ATARDECER_ORACION_3.eaf,transicion,TRANSICION,4.347,4.357,0.009999999999999787,0
ATARDECER_ORACION_3.eaf,glosa,ANOCHECER_1,4.357,5.138,0.7809999999999997,23
ATRAPAR_ORACION_1.eaf,glosa,YO_1,0.487,0.643,0.15600000000000003,5
ATRAPAR_ORACION_1.eaf,transicion,TRANSICION,0.643,0.65,0.007000000000000006,0
ATRAPAR_ORACION_1.eaf,glosa,VER_1,0.65,0.927,0.277,8
ATRAPAR_ORACION_1.eaf,glosa,ATRAPAR_2,0.927,1.71,0.7829999999999999,23
ATRAPAR_ORACION_2.eaf,glosa,YO_1,0.581,0.924,0.3430000000000001,10
ATRAPAR_ORACION_2.eaf,glosa,HOY_1,0.924,1.262,0.33799999999999997,10
ATRAPAR_ORACION_2.eaf,glosa,YO_1,1.262,1.52,0.258,8
ATRAPAR_ORACION_2.eaf,glosa,ATRAPAR_1,1.52,2.454,0.9340000000000002,28
ATRAPAR_ORACION_2.eaf,glosa,JUNTO_1,2.454,2.816,0.36199999999999966,11
ATRAPAR_ORACION_2.eaf,glosa,MUJER_1,2.816,3.383,0.5670000000000002,17
ATRAPAR_ORACION_2.eaf,glosa,QUIEN_1,3.383,3.788,0.4049999999999998,12
ATRAPAR_ORACION_2.eaf,transicion,TRANSICION,3.788,3.798,0.010000000000000231,0
ATRAPAR_ORACION_2.eaf,glosa,NO-SABER_1,3.798,4.87,1.072,32
AVION_ORACION_1.eaf,glosa,AVION_1,0.527,1.677,1.15,34
AVION_ORACION_1.eaf,transicion,TRANSICION,1.677,1.689,0.01200000000000001,0
AVION_ORACION_1.eaf,glosa,AVION_1,1.689,2.252,0.5629999999999997,17
AVION_ORACION_1.eaf,transicion,TRANSICION,2.252,2.256,0.0040000000000000036,0
AVION_ORACION_1.eaf,glosa,CRUZAR-AVION_1,2.256,3.189,0.9330000000000003,28
AVIONETA_ORACION_1.eaf,glosa,AVION_1,0.761,1.616,0.8550000000000001,26
AVIONETA_ORACION_1.eaf,glosa,PEQUEÑO_1,1.616,2.54,0.9239999999999999,28
AVIONETA_ORACION_1.eaf,glosa,CRUZAR-AVION_1,2.54,3.623,1.0830000000000002,32
BAJAR-ESCALERA_ORACION_1.eaf,glosa,YO_1,0.714,0.923,0.20900000000000007,6
BAJAR-ESCALERA_ORACION_1.eaf,transicion,TRANSICION,0.923,0.927,0.0040000000000000036,0
BAJAR-ESCALERA_ORACION_1.eaf,glosa,BAJAR-ESCALERA_1,0.927,1.779,0.8519999999999999,26
BAJAR-ESCALERA_ORACION_1.eaf,glosa,CAER-ESCALERA_1,1.779,3.137,1.358,41
BARCO_ORACION_1.eaf,glosa,BOTE_1,1.189,1.905,0.716,21
BARCO_ORACION_1.eaf,transicion,TRANSICION,1.905,1.91,0.004999999999999893,0
BARCO_ORACION_1.eaf,glosa,GRANDE_1,1.91,3.051,1.1410000000000002,34
BARCO_ORACION_1.eaf,glosa,CRUZAR-BOTE_1,3.051,4.647,1.596,48
BASTANTE_ORACION_1.eaf,glosa,YO_1,1.015,1.26,0.2450000000000001,7
BASTANTE_ORACION_1.eaf,glosa,VER_1,1.26,1.621,0.361,11
BASTANTE_ORACION_1.eaf,transicion,TRANSICION,1.621,1.631,0.010000000000000009,0
BASTANTE_ORACION_1.eaf,glosa,PERSONAS-JUNTAS_1,1.631,1.91,0.2789999999999999,8
BASTANTE_ORACION_1.eaf,glosa,IX_1,1.91,2.102,0.19199999999999995,6
BASTANTE_ORACION_1.eaf,glosa,BASTANTE_1,2.102,3.45,1.3480000000000003,40
BASTANTE_ORACION_1.eaf,transicion,TRANSICION,3.45,3.454,0.0040000000000000036,0
BASTANTE_ORACION_1.eaf,glosa,UY_1,3.454,4.046,0.5920000000000001,18
BICICLETA_ORACION_1.eaf,glosa,BICICLETA_1,0.746,1.85,1.104,33
BICICLETA_ORACION_1.eaf,glosa,CRUZAR-BICICLETA_1,1.85,3.109,1.259,38
BIEN_ORACION_1.eaf,glosa,TRABAJAR_1,0.938,1.566,0.6280000000000001,19
BIEN_ORACION_1.eaf,glosa,BIEN_2,1.566,2.786,1.22,37
BIEN_ORACION_2.eaf,glosa,YO_1,0.622,0.886,0.264,8
BIEN_ORACION_2.eaf,transicion,TRANSICION,0.886,0.89,0.0040000000000000036,0
BIEN_ORACION_2.eaf,glosa,CAMINAR-PERSONA_1,0.89,1.777,0.8869999999999999,27
BIEN_ORACION_2.eaf,transicion,TRANSICION,1.777,1.781,0.0040000000000000036,0
BIEN_ORACION_2.eaf,glosa,BIEN_1,1.781,2.918,1.1370000000000002,34
BIEN_ORACION_3.eaf,glosa,YO_1,0.614,0.829,0.21499999999999997,6
BIEN_ORACION_3.eaf,transicion,TRANSICION,0.829,0.832,0.0030000000000000027,0
BIEN_ORACION_3.eaf,glosa,BIEN_1,0.832,1.529,0.697,21
BOLA-DE-CRISTAL_ORACION_1.eaf,glosa,DECIR_1,0.49,0.98,0.49,15
BOLA-DE-CRISTAL_ORACION_1.eaf,glosa,BOLA-DE-CRISTAL_1,0.98,1.63,0.6499999999999999,19
BOLA-DE-CRISTAL_ORACION_1.eaf,glosa,MI_1,1.63,2.02,0.3900000000000001,12
BOLA-DE-CRISTAL_ORACION_1.eaf,glosa,FUTURO_1,2.02,2.48,0.45999999999999996,14
BOLA-DE-CRISTAL_ORACION_1.eaf,glosa,DESEAR_1,2.48,3.12,0.6400000000000001,19
BOLA-DE-CRISTAL_ORACION_1.eaf,glosa,DECIR_1,3.12,3.64,0.52,16
BOTE_ORACION_1.eaf,glosa,BOTE_1,0.931,1.466,0.5349999999999999,16
BOTE_ORACION_1.eaf,glosa,PEQUEÑO_1,1.466,2.058,0.5919999999999999,18
BOTE_ORACION_1.eaf,glosa,CRUZAR-BOTE_1,2.058,3.225,1.1670000000000003,35
BOTE_ORACION_2.eaf,glosa,YO_1,0.809,0.96,0.1509999999999999,5
BOTE_ORACION_2.eaf,transicion,TRANSICION,0.96,0.967,0.007000000000000006,0
BOTE_ORACION_2.eaf,glosa,VER_1,0.967,1.314,0.3470000000000001,10
BOTE_ORACION_2.eaf,transicion,TRANSICION,1.314,1.325,0.010999999999999899,0
BOTE_ORACION_2.eaf,glosa,GRANDE_1,1.325,2.067,0.7420000000000002,22
BOTE_ORACION_2.eaf,transicion,TRANSICION,2.067,2.074,0.006999999999999673,0
BOTE_ORACION_2.eaf,glosa,BOTE_1,2.074,3.249,1.1750000000000003,35
BUS_ORACION_1.eaf,glosa,BUS_1,1.103,1.971,0.8680000000000001,26
BUS_ORACION_1.eaf,glosa,VIA-DOBLE-SENTIDO_1,1.971,3.285,1.314,39
CAER_ORACION_1.eaf,glosa,YO_1,0.487,0.679,0.19200000000000006,6
CAER_ORACION_1.eaf,glosa,CAMINAR-PERSONA_1,0.679,1.096,0.41700000000000004,13
CAER_ORACION_1.eaf,glosa,VER_1,1.096,1.592,0.496,15
CAER_ORACION_1.eaf,transicion,TRANSICION,1.592,1.596,0.0040000000000000036,0
